"","Kale","Platero","Caracterizacion"
"Gonatodes albogularis",62,27,48
"Anolis tropidogaster",41,44,28
"Basiliscus galeritus",82,82,35
"Loxopholis rugiceps",71,49,10
"Caiman crocodilus",61,40,2
"Anolis auratus",22,60,6
"Imantodes cenchoa",18,7,6
"Tantilla melanocephala",1,4,0
"Lepidoblepharis xanthostigma",2,18,1
"Rhinoclemmys melanosterna",1,4,2
"Kinosternon scorpioides",3,7,0
"Corallus ruschenbergerii",9,4,1
"Chironius spixii",2,5,0
"Ameiva ameiva",1,1,0
"Leptophis ahaetulla",5,4,0
"Helicops danieli",6,3,0
"Enuliophis sclateri",2,0,3
"Holcosus festivus",4,1,1
"Thamnodynastes gambotensis",5,2,0
"Epicrates maurus",0,1,0
"Pseudoboa neuwiedii",2,3,0
"Mabuya",10,8,0
"Cnemidophorus lemniscatus",4,5,2
"Hemidactylus frenatus",0,0,4
"Sphaerodactylus lineolatus",3,2,1
"Leptodeira annulata",8,8,9
"Thecadactylus rapicauda",2,0,2
"Atractus",0,0,1
"Liotyphlops albirostris",1,0,0
"Mastigodryas boddaerti",0,1,1
"Diploglossus monotropis",1,5,0
"Ameiva bifrontata",0,2,0
"Lygophis lineatus",0,1,0
"Porthidium lansbergii",1,1,0
"Dendrophidion percarinatum",2,1,0
"Bothrops asper",6,1,0
"Alopoglossus festae",3,0,0
"Clelia clelia",2,0,0
"Micrurus dumerilii",1,1,0
"Iguana iguana",7,4,0
"Trachemys callirostris",2,0,0
"Tupinambis cryptus",1,0,0
"Anolis",2,0,0
"Lepidoblepharis",1,0,0
"Oxybelis aeneus",1,0,0
"Oxyrhopus petolarius",1,0,0
"Erythrolamprus melanotus",0,1,0
