"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",24,28.495,7.186,24.494,64.876,947,24,0.9968
"2","Bosque Ripario","Shannon diversity",9.015,9.152,0.363,9.015,9.864,947,24,0.9968
"3","Bosque Ripario","Simpson diversity",5.634,5.662,0.263,5.634,6.178,947,24,0.9968
"4","Bosque Denso","Species richness",11,23.083,16.58,12.608,101.789,30,11,0.8356
"5","Bosque Denso","Shannon diversity",8.612,12.301,2.574,8.612,17.346,30,11,0.8356
"6","Bosque Denso","Simpson diversity",7.258,9.255,1.897,7.258,12.973,30,11,0.8356
"7","Vías","Species richness",14,41.731,21.096,21.375,118.269,104,14,0.9233
"8","Vías","Shannon diversity",5.404,6.375,0.963,5.404,8.262,104,14,0.9233
"9","Vías","Simpson diversity",3.694,3.793,0.374,3.694,4.526,104,14,0.9233
"10","Pastos","Species richness",4,4.219,0.659,4.011,8.301,8,4,0.9205
"11","Pastos","Shannon diversity",3.747,4.729,1.49,3.747,7.649,8,4,0.9205
"12","Pastos","Simpson diversity",3.556,5.6,1.833,3.556,9.192,8,4,0.9205
"13","Herbazal","Species richness",17,17.499,1.029,17.04,23.226,368,17,0.9946
"14","Herbazal","Shannon diversity",8.9,9.115,0.433,8.9,9.965,368,17,0.9946
"15","Herbazal","Simpson diversity",6.851,6.962,0.37,6.851,7.687,368,17,0.9946
"16","Bosque Abierto","Species richness",8,10.959,4.405,8.356,32.614,74,8,0.96
"17","Bosque Abierto","Shannon diversity",5.042,5.435,0.486,5.042,6.387,74,8,0.96
"18","Bosque Abierto","Simpson diversity",4.252,4.45,0.442,4.252,5.317,74,8,0.96
"19","Ciénaga","Species richness",6,6.248,0.724,6.013,10.705,123,6,0.9921
"20","Ciénaga","Shannon diversity",3.436,3.517,0.247,3.436,4.002,123,6,0.9921
"21","Ciénaga","Simpson diversity",3.057,3.109,0.162,3.057,3.427,123,6,0.9921
