"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",24,24.25,0.728,24.013,28.729,930,24,0.9989
"2","Bosque Ripario","Shannon diversity",9.662,9.788,0.403,9.662,10.577,930,24,0.9989
"3","Bosque Ripario","Simpson diversity",6.042,6.075,0.277,6.042,6.617,930,24,0.9989
"4","Palma","Species richness",14,14.247,0.722,14.013,18.693,87,14,0.989
"5","Palma","Shannon diversity",8.748,9.488,1.044,8.748,11.535,87,14,0.989
"6","Palma","Simpson diversity",5.611,5.929,1.008,5.611,7.903,87,14,0.989
"7","Vias","Species richness",14,31.824,23.394,16.507,140.735,102,14,0.9414
"8","Vias","Shannon diversity",5.676,6.513,0.977,5.676,8.428,102,14,0.9414
"9","Vias","Simpson diversity",3.745,3.85,0.426,3.745,4.685,102,14,0.9414
"10","Pastos","Species richness",13,13.66,1.294,13.056,20.742,95,13,0.9796
"11","Pastos","Shannon diversity",8.011,8.615,0.861,8.011,10.303,95,13,0.9796
"12","Pastos","Simpson diversity",6.102,6.452,0.774,6.102,7.97,95,13,0.9796
"13","Bosque Abierto","Species richness",9,9.247,0.722,9.013,13.69,80,9,0.9881
"14","Bosque Abierto","Shannon diversity",6.468,6.835,0.591,6.468,7.994,80,9,0.9881
"15","Bosque Abierto","Simpson diversity",5.479,5.809,0.541,5.479,6.869,80,9,0.9881
"16","Herbazal","Species richness",14,14.996,1.864,14.09,25.026,239,14,0.9917
"17","Herbazal","Shannon diversity",7.327,7.562,0.479,7.327,8.501,239,14,0.9917
"18","Herbazal","Simpson diversity",5.33,5.429,0.493,5.33,6.395,239,14,0.9917
"19","Zonas Pantanosas","Species richness",6,6.247,0.722,6.013,10.688,77,6,0.9877
"20","Zonas Pantanosas","Shannon diversity",3.79,3.934,0.333,3.79,4.585,77,6,0.9877
"21","Zonas Pantanosas","Simpson diversity",3.386,3.496,0.258,3.386,4.001,77,6,0.9877
"22","Rios","Species richness",3,3,0.479,3,4.489,44,3,1
"23","Rios","Shannon diversity",2.194,2.248,0.159,2.194,2.561,44,3,1
"24","Rios","Simpson diversity",2.091,2.145,0.101,2.091,2.342,44,3,1
