"","Kale","Platero","Caracterizacion"
"Lithobates vaillanti",44,48,16
"Dendrobates truncatus",68,43,173
"Engystomops pustulosus",284,163,84
"Boana pugnax",115,42,14
"Scinax ruber",105,50,6
"Craugastor metriosistus",75,67,88
"Scinax rostratus",55,36,20
"Dendropsophus microcephalus",278,162,7
"Phyllomedusa venusta",5,7,6
"Leptodactylus insularum",38,20,1
"Bolitoglossa lozanoi",26,6,5
"Leptodactylus fragilis",56,15,1
"Rhinella horribilis",10,20,17
"Smilisca phaeota",11,0,10
"Pristimantis gaigei",10,0,19
"Rhinella humboldti",9,8,0
"Scarthyla vigilans",222,206,0
"Leptodactylus fuscus",56,18,3
"Leptodactylus savagei",9,17,7
"Diasporus anthrax",0,0,2
"Pleurodema brachyops",4,4,0
"Elachistocleis pearsei",11,4,1
"Pseudis paradoxa",37,5,0
"Pseudopaludicola pusilla",30,42,5
"Hyalinobatrachium tatayoi",1,0,0
"Allobates niputidea",0,0,5
"Agalychnis terranova",0,0,1
"Boana platanera",0,1,0
"Trachycephalus typhonius",1,1,0
"Elachistocleis panamensis",6,0,0
"Rhinella margaritifera",0,1,0
"Leptodactylus colombiensis",0,2,0
